"link"|"datasetFolder"|"datasetDescription"|"title"|"dsFeatures"|"numberObs"|"area"|"atributeType"|"numberAttr"|"dateDonated"|"missingValues"|"numberWebHits"|"image"
"http://archive.ics.uci.edu/ml/datasets/BAUM-2"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00474/"|"http://archive.ics.uci.edu/ml/datasets/BAUM-2#"|"BAUM-2 Data Set"|"Time-Series"|"1047"|"Computer"|"N/A"|"N/A"|"2018-11-09"|"N/A"|"6203"|""
"http://archive.ics.uci.edu/ml/datasets/KDD+Cup+1999+Data"|"http://archive.ics.uci.edu/ml/machine-learning-databases/kddcup99-mld/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/kddcup99-mld/kddcup99.html"|"KDD Cup 1999 Data Data Set"|"Multivariate"|"4000000"|"Computer"|"Categorical, Integer"|"42"|"1999-01-01"|"N/A"|"136387"|""
"http://archive.ics.uci.edu/ml/datasets/Physical+Unclonable+Functions"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00463/"|"http://archive.ics.uci.edu/ml/datasets/Physical+Unclonable+Functions#"|"Physical Unclonable Functions Data Set"|"Multivariate"|"6000000"|"Computer"|"Integer"|"129"|"2018-10-08"|"N/A"|"8480"|""
"http://archive.ics.uci.edu/ml/datasets/Cylinder+Bands"|"http://archive.ics.uci.edu/ml/machine-learning-databases/cylinder-bands/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/cylinder-bands/bands.names"|"Cylinder Bands Data Set"|"Multivariate"|"512"|"Physical"|"Categorical, Integer, Real"|"39"|"1995-08-01"|"Yes"|"65686"|""
"http://archive.ics.uci.edu/ml/datasets/Immunotherapy+Dataset"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00428/"|"http://archive.ics.uci.edu/ml/datasets/Immunotherapy+Dataset#"|"Immunotherapy Dataset Data Set"|"Univariate"|"90"|"Life"|"Integer, Real"|"8"|"2018-01-04"|"N/A"|"30952"|""
"http://archive.ics.uci.edu/ml/datasets/Undocumented"|"http://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/"|""|"Undocumented Data Set"|"N/A"|"N/A"|"N/A"|"N/A"|"N/A"|"N/A"|"N/A"|"25256"|""
"http://archive.ics.uci.edu/ml/datasets/ElectricityLoadDiagrams20112014"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00321/"|"http://archive.ics.uci.edu/ml/datasets/ElectricityLoadDiagrams20112014#"|"ElectricityLoadDiagrams20112014 Data Set"|"Time-Series"|"370"|"Computer"|"Real"|"140256"|"2015-03-13"|"N/A"|"49474"|""
"http://archive.ics.uci.edu/ml/datasets/Gas+sensor+arrays+in+open+sampling+settings"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00251/"|"http://archive.ics.uci.edu/ml/datasets/Gas+sensor+arrays+in+open+sampling+settings#"|"Gas sensor arrays in open sampling settings Data Set"|"Multivariate, Time-Series"|"18000"|"Computer"|"Real"|"1950000"|"2013-06-05"|"N/A"|"37890"|""
"http://archive.ics.uci.edu/ml/datasets/SIFT10M"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00353/"|"http://archive.ics.uci.edu/ml/datasets/SIFT10M#"|"SIFT10M Data Set"|"Multivariate"|"11164866"|"Computer"|"Integer"|"128"|"2016-02-23"|"N/A"|"27096"|""
"http://archive.ics.uci.edu/ml/datasets/Hepatitis"|"http://archive.ics.uci.edu/ml/machine-learning-databases/hepatitis/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/hepatitis/hepatitis.names"|"Hepatitis Data Set"|"Multivariate"|"155"|"Life"|"Categorical, Integer, Real"|"19"|"1988-11-01"|"Yes"|"207898"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large46.jpg"
"http://archive.ics.uci.edu/ml/datasets/Chronic_Kidney_Disease"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00336/"|"http://archive.ics.uci.edu/ml/datasets/Chronic_Kidney_Disease#"|"Chronic_Kidney_Disease Data Set"|"Multivariate"|"400"|"N/A"|"Real"|"25"|"2015-07-03"|"Yes"|"124886"|""
"http://archive.ics.uci.edu/ml/datasets/detection_of_IoT_botnet_attacks_N_BaIoT"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00442/"|"http://archive.ics.uci.edu/ml/datasets/detection_of_IoT_botnet_attacks_N_BaIoT#"|"detection_of_IoT_botnet_attacks_N_BaIoT Data Set"|"Multivariate, Sequential"|"7062606"|"Computer"|"Real"|"115"|"2018-03-19"|"N/A"|"34280"|""
"http://archive.ics.uci.edu/ml/datasets/SCADI"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00446/"|"http://archive.ics.uci.edu/ml/datasets/SCADI#"|"SCADI Data Set"|"Multivariate"|"70"|"Life"|"N/A"|"206"|"2018-04-14"|"N/A"|"19269"|""
"http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Original%29"|"http://archive.ics.uci.edu/ml/machine-learning-databases/breast-cancer-wisconsin/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/breast-cancer-wisconsin/breast-cancer-wisconsin.names"|"Breast Cancer Wisconsin (Original) Data Set"|"Multivariate"|"699"|"Life"|"Integer"|"10"|"1992-07-15"|"Yes"|"469725"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large14.jpg"
"http://archive.ics.uci.edu/ml/datasets/Sentiment+Labelled+Sentences"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00331/"|"http://archive.ics.uci.edu/ml/datasets/Sentiment+Labelled+Sentences#"|"Sentiment Labelled Sentences Data Set"|"Text"|"3000"|"N/A"|"N/A"|"N/A"|"2015-05-30"|"N/A"|"119615"|""
